City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Antofagasta,CL,-23.65,-70.4,73.81,66,15,9.93,few clouds
132,Vestmannaeyjar,IS,63.4427,-20.2734,36.59,51,100,8.05,overcast clouds
133,Shivrajpur,IN,22.4167,73.65,78.76,29,3,5.1,clear sky
134,Shache,CN,38.4167,77.2406,29.71,40,6,4.03,clear sky
135,Nishihara,JP,26.1842,127.7558,65.48,82,20,5.75,few clouds
136,Nikolskoye,RU,59.7035,30.7861,14.81,96,71,4.99,broken clouds
137,Fort Nelson,CA,58.8053,-122.7002,-33.5,100,20,1.21,few clouds
138,Mugur-Aksy,RU,50.35,90.5,9.12,90,45,7.2,scattered clouds
139,Te Anau,NZ,-45.4167,167.7167,45.91,89,84,3.06,broken clouds
140,Neepawa,CA,50.2289,-99.4664,-6.45,90,100,7.34,overcast clouds
141,Guarapari,BR,-20.6667,-40.4975,80.89,83,100,8.75,light rain
142,Bengkulu,ID,-3.8004,102.2655,78.12,89,100,3.33,overcast clouds
143,Kruisfontein,ZA,-34.0033,24.7314,66.88,62,100,13.65,overcast clouds
144,Kumluca,TR,36.3703,30.2869,59.95,79,71,0.92,broken clouds
145,Dukat,RU,62.55,155.55,10.0,97,87,7.99,overcast clouds
146,Taoudenni,ML,22.6783,-3.9836,79.11,19,0,14.74,clear sky
147,Marovoay,MG,-16.1,46.6333,80.73,76,99,5.68,light rain
148,East London,ZA,-33.0153,27.9116,69.55,69,66,20.56,light rain
149,Ixtapa,MX,20.7,-105.2,68.23,79,5,1.97,clear sky
150,Kuah,MY,6.3265,99.8432,79.38,81,70,18.5,broken clouds
151,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,71.55,94,100,6.15,overcast clouds
152,Luba,GQ,3.4568,8.5547,81.1,73,100,2.86,overcast clouds
153,North Bend,US,43.4065,-124.2243,48.16,98,100,14.09,overcast clouds
154,Leningradskiy,RU,69.3833,178.4167,1.04,83,10,5.19,clear sky
155,Tshikapa,CD,-6.4167,20.8,81.21,76,82,3.69,light rain
156,Mackay,AU,-21.15,149.2,67.68,61,1,15.35,clear sky
157,Kapit,MY,2.0167,112.9333,73.38,99,100,1.34,overcast clouds
158,Beringovskiy,RU,63.05,179.3167,31.96,74,64,24.9,broken clouds
159,Otane,NZ,-39.8833,176.6333,56.01,97,60,4.29,broken clouds
160,Syracuse,IT,37.0881,15.2792,60.17,70,2,4.18,clear sky
161,Constitucion,CL,-35.3333,-72.4167,65.55,58,63,5.28,broken clouds
162,Kuliyapitiya,LK,7.4688,80.0401,78.48,86,96,8.43,overcast clouds
163,Mount Gambier,AU,-37.8333,140.7667,65.95,45,100,8.43,overcast clouds
164,Shaunavon,CA,49.6501,-108.4181,-28.08,99,74,5.95,broken clouds
165,Hobyo,SO,5.3505,48.5268,79.65,77,7,18.37,clear sky
166,Peterborough,GB,52.5736,-0.2478,49.95,81,14,10.36,few clouds
167,Sisimiut,GL,66.9395,-53.6735,20.19,57,19,6.98,few clouds
168,Sibolga,ID,1.7427,98.7792,77.79,82,100,3.02,very heavy rain
169,Marica,BR,-22.9194,-42.8186,67.91,90,100,13.29,moderate rain
170,Hobart,AU,-42.8794,147.3294,55.26,80,100,2.3,overcast clouds
171,Esso,RU,55.9333,158.7,26.01,95,100,14.94,light snow
172,Cabo San Lucas,MX,22.8909,-109.9124,68.5,80,88,2.39,overcast clouds
173,Umea,SE,63.8284,20.2597,31.93,100,100,2.3,light intensity drizzle
174,Bitam,GA,2.076,11.5007,79.68,65,97,3.65,overcast clouds
175,Terrace,CA,54.5163,-128.6035,-0.49,46,0,19.57,clear sky
176,Svetlyy,RU,54.675,20.1347,37.45,97,100,15.55,overcast clouds
177,Jinchang,CN,38.4953,102.1739,25.11,41,3,6.62,clear sky
178,Talnakh,RU,69.4865,88.3972,-22.2,98,100,1.23,overcast clouds
179,Tuktoyaktuk,CA,69.4541,-133.0374,-3.93,97,100,6.22,overcast clouds
180,Coronel Oviedo,PY,-25.4167,-56.45,92.73,32,0,3.67,clear sky
181,Dhidhdhoo,MV,6.8833,73.1,82.26,68,100,5.55,overcast clouds
182,Esperance,AU,-33.8667,121.9,61.21,91,5,9.53,clear sky
183,Henties Bay,NA,-22.116,14.2845,66.45,74,30,9.84,scattered clouds
184,Smithers,CA,54.7804,-127.1743,-15.45,94,6,1.79,clear sky
185,Faya,SA,18.3851,42.4509,55.92,56,94,6.62,overcast clouds
186,Agadez,NE,19.75,10.25,70.84,28,5,13.09,clear sky
187,Tigil,RU,57.8,158.6667,33.19,71,1,23.71,clear sky
188,Pak Phanang,TH,8.3511,100.202,77.9,78,73,9.82,broken clouds
189,Los Llanos De Aridane,ES,28.6585,-17.9182,70.12,70,20,4.61,few clouds
190,Basoko,CD,1.2391,23.616,81.72,72,100,2.84,light rain
191,Baruun-Urt,MN,46.6806,113.2792,-8.91,90,11,4.03,few clouds
192,Tukrah,LY,32.5341,20.5791,60.76,66,20,21.9,few clouds
193,Hambantota,LK,6.1241,81.1185,77.34,94,40,10.36,scattered clouds
194,Podosinovets,RU,60.2776,47.0659,-2.56,100,86,1.83,overcast clouds
195,Imbituba,BR,-28.24,-48.6703,71.85,89,100,7.18,light rain
196,San Patricio,US,28.017,-97.5169,53.47,85,4,14.58,clear sky
197,Severo-Kurilsk,RU,50.6789,156.125,29.14,91,100,37.0,snow
198,Faanui,PF,-16.4833,-151.75,80.38,73,54,15.32,broken clouds
199,Padang,ID,-0.9492,100.3543,77.05,84,100,3.83,heavy intensity rain
200,Port Alfred,ZA,-33.5906,26.891,70.18,76,74,5.01,broken clouds
201,Burns Lake,CA,54.2331,-125.7533,-17.01,97,7,0.56,clear sky
202,Bethel,US,41.3712,-73.414,35.69,62,0,14.97,clear sky
203,Lavrentiya,RU,65.5833,-171.0,11.5,77,20,7.25,few clouds
204,Saint-Pierre,RE,-21.3393,55.4781,80.28,65,75,8.05,broken clouds
205,Chifeng,CN,42.2683,118.9636,14.27,44,90,15.21,overcast clouds
206,Tianpeng,CN,30.9866,103.9393,48.72,43,0,4.9,clear sky
207,Kenai,US,60.5544,-151.2583,-4.86,98,8,9.06,clear sky
208,Szany,HU,47.4642,17.304,32.27,93,100,6.91,overcast clouds
209,Pacific Grove,US,36.6177,-121.9166,47.66,89,75,5.75,broken clouds
210,Alice Springs,AU,-23.7,133.8833,78.35,61,91,8.05,overcast clouds
211,Porto Santo,PT,33.072,-16.3415,71.98,64,20,4.61,few clouds
212,Luganville,VU,-15.5333,167.1667,79.12,77,19,3.0,few clouds
213,Road Town,VG,18.4167,-64.6167,86.09,65,40,10.36,scattered clouds
214,Ginir,ET,7.1333,40.7,67.1,34,29,7.99,scattered clouds
215,Tonj,SS,7.2737,28.6822,95.61,18,45,5.41,scattered clouds
216,La Ronge,CA,55.1001,-105.2842,-6.92,95,100,6.08,overcast clouds
217,Saint-Joseph,RE,-21.3667,55.6167,79.18,82,82,4.68,light rain
218,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,94,75,12.66,light intensity drizzle
219,Acapulco,MX,16.8634,-99.8901,78.03,56,68,3.31,broken clouds
220,Awbari,LY,26.5921,12.7805,64.26,44,1,12.73,clear sky
221,Broken Hill,AU,-31.95,141.4333,73.67,56,99,9.4,overcast clouds
222,Lokosovo,RU,61.1333,74.8167,12.51,93,100,13.11,light snow
223,Nanortalik,GL,60.1432,-45.2371,23.05,65,1,4.92,clear sky
224,Yabelo,ET,4.8833,38.0833,75.54,20,62,6.64,broken clouds
225,Sola,VU,-13.8833,167.55,81.55,75,44,11.54,scattered clouds
226,Christchurch,NZ,-43.5333,172.6333,54.91,84,100,4.61,overcast clouds
227,Hamilton,US,39.1834,-84.5333,32.9,73,75,5.75,broken clouds
228,Teeli,RU,51.0333,90.2333,11.97,82,100,3.47,overcast clouds
229,San Andres,CO,12.5847,-81.7006,80.6,76,9,20.58,light rain
230,Raahe,FI,64.6833,24.4833,24.89,95,100,14.36,snow
231,Mocajuba,BR,-2.5842,-49.5072,90.03,50,72,4.43,broken clouds
232,Alappuzha,IN,9.49,76.3264,80.01,77,84,2.84,broken clouds
233,Belaya Gora,RU,68.5333,146.4167,-15.72,100,97,1.54,overcast clouds
234,Mumford,GH,5.2618,-0.759,82.78,71,20,10.87,few clouds
235,Caidian,CN,30.5833,114.0333,45.0,58,82,3.4,broken clouds
236,Birin,NP,26.8865,88.0718,50.5,78,71,2.42,broken clouds
237,Chiredzi,ZW,-21.05,31.6667,82.87,58,99,15.05,overcast clouds
238,Buala,SB,-8.145,159.5921,80.35,83,75,5.84,broken clouds
239,Narsaq,GL,60.9167,-46.05,8.82,63,0,7.52,clear sky
240,Kaitangata,NZ,-46.2817,169.8464,49.26,78,100,5.26,overcast clouds
241,Kavaratti,IN,10.5669,72.642,81.18,69,100,3.49,overcast clouds
242,Port Pirie,AU,-33.1833,138.0167,72.0,70,99,3.53,light rain
243,Touros,BR,-5.1989,-35.4608,86.09,58,8,15.57,clear sky
244,Piacabucu,BR,-10.4056,-36.4344,84.22,60,54,12.82,broken clouds
245,Turukhansk,RU,65.8167,87.9833,-25.74,99,98,4.63,overcast clouds
246,Chkalovskoye,RU,44.8392,133.0436,0.39,86,27,3.94,scattered clouds
247,Dusti,TJ,37.3481,68.664,47.21,52,0,2.39,clear sky
248,Nevel,RU,56.0209,29.9284,25.39,96,100,5.28,overcast clouds
249,Oudtshoorn,ZA,-33.5907,22.2014,63.34,73,96,11.14,overcast clouds
250,Palmer,US,42.1584,-72.3287,34.97,59,20,7.0,few clouds
251,Longonjo,AO,-12.9067,15.2533,71.53,73,87,5.66,light rain
252,Avarua,CK,-21.2078,-159.775,73.45,100,75,3.44,light rain
253,Chornobay,UA,49.6708,32.3239,32.22,63,100,16.78,overcast clouds
254,Mpika,ZM,-11.8343,31.4529,66.0,89,100,2.33,light rain
